13                                   ,32         ,33         ,35         ,38         ,37         ,19 ,0          ,17         ,40 ,15 ,41 ,42 ,50 ,16 ,4 ,36         ,1 ,9 ,22 ,45 ,30         ,3 ,6 ,46 ,10 ,7 ,23 ,21 ,20 ,24 ,18 ,39         ,11 ,43         ,8 ,34         ,14 ,100 ,44 ,12 ,55 ,31         ,2 ,5 ,$ ,ident_virgule+ ,accès ,opérateur ,elsif_expr_then_instr+ ,fichier' ,params ,decl+ ,type ,instr ,expr ,champs+ ,ident ,param_points_virgule+ ,fichier ,decl ,param ,champs ,mode ,instr+ ,expr_virgule+
                                     ,           ,           ,           ,           ,           ,   ,           ,           ,   ,   ,   ,   ,   ,   ,  ,           ,  ,  ,   ,   ,           ,  ,  ,   ,   ,  ,   ,   ,   ,   ,   ,           ,   ,           ,  ,           ,   ,    ,   ,   ,   ,           ,  ,  ,  ,               ,      ,          ,                       ,         ,       ,      ,     ,      ,     ,        ,      ,                      ,        ,     ,      ,       ,     ,       ,
                                     ,           ,           ,           ,           ,           ,   ,           ,           ,   ,   ,   ,   ,   ,   ,  ,           ,  ,  ,   ,   ,           ,  ,  ,   ,   ,  ,   ,   ,   ,   ,   ,           ,   ,r88 / d131 ,  ,           ,   ,    ,   ,   ,   ,           ,  ,  ,  ,               ,      ,          ,                       ,         ,       ,      ,     ,      ,     ,        ,      ,                      ,        ,     ,      ,       ,     ,       ,
                                     ,           ,           ,           ,           ,           ,   ,           ,           ,   ,   ,   ,   ,   ,   ,  ,           ,  ,  ,   ,   ,           ,  ,  ,   ,   ,  ,   ,   ,   ,   ,   ,           ,   ,r88 / d139 ,  ,           ,   ,    ,   ,   ,   ,           ,  ,  ,  ,               ,      ,          ,                       ,         ,       ,      ,     ,      ,     ,        ,      ,                      ,        ,     ,      ,       ,     ,       ,
                                     ,           ,           ,           ,           ,           ,   ,           ,           ,   ,   ,   ,   ,   ,   ,  ,           ,  ,  ,   ,   ,           ,  ,  ,   ,   ,  ,   ,   ,   ,   ,   ,           ,   ,r88 / d153 ,  ,           ,   ,    ,   ,   ,   ,           ,  ,  ,  ,               ,      ,          ,                       ,         ,       ,      ,     ,      ,     ,        ,      ,                      ,        ,     ,      ,       ,     ,       ,
r49 / d130                           ,r49 / d128 ,r49 / d126 ,r49 / d123 ,r49 / d122 ,r49 / d119 ,   ,r49 / d129 ,r49 / d125 ,   ,   ,   ,   ,   ,   ,  ,r49 / d118 ,  ,  ,   ,   ,r49 / d127 ,  ,  ,   ,   ,  ,   ,   ,   ,   ,   ,r49 / d121 ,   ,           ,  ,r49 / d120 ,   ,    ,   ,   ,   ,r49 / d124 ,  ,  ,  ,               ,      ,          ,                       ,         ,       ,      ,     ,      ,     ,        ,      ,                      ,        ,     ,      ,       ,     ,       ,
r48 / d130                           ,r48 / d128 ,r48 / d126 ,r48 / d123 ,r48 / d122 ,r48 / d119 ,   ,r48 / d129 ,r48 / d125 ,   ,   ,   ,   ,   ,   ,  ,r48 / d118 ,  ,  ,   ,   ,r48 / d127 ,  ,  ,   ,   ,  ,   ,   ,   ,   ,   ,r48 / d121 ,   ,           ,  ,r48 / d120 ,   ,    ,   ,   ,   ,r48 / d124 ,  ,  ,  ,               ,      ,          ,                       ,         ,       ,      ,     ,      ,     ,        ,      ,                      ,        ,     ,      ,       ,     ,       ,
                                     ,           ,           ,           ,           ,           ,   ,           ,           ,   ,   ,   ,   ,   ,   ,  ,           ,  ,  ,   ,   ,           ,  ,  ,   ,   ,  ,   ,   ,   ,   ,   ,           ,   ,r88 / d200 ,  ,           ,   ,    ,   ,   ,   ,           ,  ,  ,  ,               ,      ,          ,                       ,         ,       ,      ,     ,      ,     ,        ,      ,                      ,        ,     ,      ,       ,     ,       ,
                                     ,           ,           ,           ,           ,           ,   ,           ,           ,   ,   ,   ,   ,   ,   ,  ,           ,  ,  ,   ,   ,           ,  ,  ,   ,   ,  ,   ,   ,   ,   ,   ,           ,   ,r88 / d238 ,  ,           ,   ,    ,   ,   ,   ,           ,  ,  ,  ,               ,      ,          ,                       ,         ,       ,      ,     ,      ,     ,        ,      ,                      ,        ,     ,      ,       ,     ,       ,
                                     ,           ,           ,           ,           ,           ,   ,           ,           ,   ,   ,   ,   ,   ,   ,  ,           ,  ,  ,   ,   ,           ,  ,  ,   ,   ,  ,   ,   ,   ,   ,   ,           ,   ,r88 / d247 ,  ,           ,   ,    ,   ,   ,   ,           ,  ,  ,  ,               ,      ,          ,                       ,         ,       ,      ,     ,      ,     ,        ,      ,                      ,        ,     ,      ,       ,     ,       ,
r85 / d130                           ,r85 / d128 ,r85 / d126 ,r85 / d123 ,r85 / d122 ,r85 / d119 ,   ,r85 / d129 ,r85 / d125 ,   ,   ,   ,   ,   ,   ,  ,r85 / d118 ,  ,  ,   ,   ,r85 / d127 ,  ,  ,   ,   ,  ,   ,   ,   ,   ,   ,r85 / d121 ,   ,           ,  ,r85 / d120 ,   ,    ,   ,   ,   ,r85 / d124 ,  ,  ,  ,               ,      ,          ,                       ,         ,       ,      ,     ,      ,     ,        ,      ,                      ,        ,     ,      ,       ,     ,       ,
r47 / d130                           ,r47 / d128 ,r47 / d126 ,r47 / d123 ,r47 / d122 ,r47 / d119 ,   ,r47 / d129 ,r47 / d125 ,   ,   ,   ,   ,   ,   ,  ,r47 / d118 ,  ,  ,   ,   ,r47 / d127 ,  ,  ,   ,   ,  ,   ,   ,   ,   ,   ,r47 / d121 ,   ,           ,  ,r47 / d120 ,   ,    ,   ,   ,   ,r47 / d124 ,  ,  ,  ,               ,      ,          ,                       ,         ,       ,      ,     ,      ,     ,        ,      ,                      ,        ,     ,      ,       ,     ,       ,


rappel : rainbow csv pour visualiser
